breach_id,breach_location_id,scenario_id,scenario_name,return_period,discharge_m3s,breach_name,dijkring,river,damage_MEUR,victims,affected,model_resolution,initial_breach_width,max_breach_width,breach_growth_method,scenario_layer,map_id,id,breachtypes_id,dijkringareas_id,openwaters_id,name,code,x,y,notify,lt30,f30t300,f300t3000,f3000t30k,gt30k,dreigende_overstroming,geometry_type,geometry_x,geometry_y
213,213,4374,Toetspeil plus decimeringshoogte,100000,,BALGZANDDIJK_7,Dijkring 13 - Noord-Holland,Waddenzee,850,34,11291,"100,0","10,0", , ,scenario_4374,26172,213,2,13.0,108,BALGZANDDIJK_7,PRIM,119981,544866,Deze overstroming kan tot nieuwe dijkdoorbraken leiden in dijkring 12 door extra instroom in het Amstelmeer.,0,0,1,1,2,0.0,Point,119981,544866
213,213,4339,Toetspeil plus 2 maal decimeringshoogte,1000000,,BALGZANDDIJK_7,Dijkring 13 - Noord-Holland,Waddenzee,940,39,11420,"100,0","10,0", , ,scenario_4339,24895,213,2,13.0,108,BALGZANDDIJK_7,PRIM,119981,544866,Deze overstroming kan tot nieuwe dijkdoorbraken leiden in dijkring 12 door extra instroom in het Amstelmeer.,0,0,1,1,2,0.0,Point,119981,544866
214,214,14090,Toetspeil min decimeringshoogte,1000,,BALGZANDDIJK_8,Dijkring 13 - Noord-Holland,Waddenzee,110,1,796,"50,0","10,0", , ,scenario_14090,26025,214,2,13.0,108,BALGZANDDIJK_8,PRIM,120619,544592,Deze overstroming kan tot nieuwe dijkdoorbraken leiden in dijkring 12 door extra instroom in het Amstelmeer.,0,0,1,1,2,0.0,Point,120619,544592
214,214,14089,Toetspeil,10000,,BALGZANDDIJK_8,Dijkring 13 - Noord-Holland,Waddenzee,140,1,813,"50,0","10,0", , ,scenario_14089,25546,214,2,13.0,108,BALGZANDDIJK_8,PRIM,120619,544592,Deze overstroming kan tot nieuwe dijkdoorbraken leiden in dijkring 12 door extra instroom in het Amstelmeer.,0,0,1,1,2,0.0,Point,120619,544592
214,214,14091,Toetspeil plus decimeringshoogte,100000,,BALGZANDDIJK_8,Dijkring 13 - Noord-Holland,Waddenzee,170,2,827,"50,0","10,0", , ,scenario_14091,26217,214,2,13.0,108,BALGZANDDIJK_8,PRIM,120619,544592,Deze overstroming kan tot nieuwe dijkdoorbraken leiden in dijkring 12 door extra instroom in het Amstelmeer.,0,0,1,1,2,0.0,Point,120619,544592
214,214,14092,Toetspeil plus tweemaal decimeringshoogte,1000000,,BALGZANDDIJK_8,Dijkring 13 - Noord-Holland,Waddenzee,190,2,860,"50,0","10,0", , ,scenario_14092,26410,214,2,13.0,108,BALGZANDDIJK_8,PRIM,120619,544592,Deze overstroming kan tot nieuwe dijkdoorbraken leiden in dijkring 12 door extra instroom in het Amstelmeer.,0,0,1,1,2,0.0,Point,120619,544592
220,220,3641,Beatrixsluizen_125_zand,125,,Beatrixsluizen-A27,Dijkring 44 - Kromme Rijn,Lek,13000,428,257139,"100,0","-9999,0", ,automatisch,scenario_3641,5270,220,2,47.0,60,Beatrixsluizen-A27,PRIM,136084,446207,,0,1,2,0,0,0.0,Point,136084,446207
220,220,3636,Beatrixsluizen_1250_zand,1250,,Beatrixsluizen-A27,Dijkring 44 - Kromme Rijn,Lek,24000,890,451348,"100,0","-9999,0", ,automatisch,scenario_3636,5263,220,2,47.0,60,Beatrixsluizen-A27,PRIM,136084,446207,,0,1,2,0,0,0.0,Point,136084,446207
220,220,20675,Beatrixsluizen_2000_zand_rep,2000,,Beatrixsluizen-A27,Dijkring 44 - Kromme Rijn,Lek,26000,1031,502513,"100,0","-9999,0", ,automatisch,scenario_20675,5277,220,2,47.0,60,Beatrixsluizen-A27,PRIM,136084,446207,,0,1,2,0,0,0.0,Point,136084,446207
381,381,19053,tp-1d Bemmel,125,,BemmelARK,"Dijkring 43 - Betuwe, Tieler- en Culemborgerwaard",Waal,34000,1441,341151,"100,0","-999,0", ,vast,scenario_19053,28,381,2,46.0,107,BemmelARK,PRIM,190563,433192,,0,1,1,1,0,0.0,Point,190563,433192
