split,MAE,RMSE,R2
1,1.130891474792342,1.3991850422263705,0.6094112577626598
2,1.2928160790214198,1.6938023852490625,0.4783319643583671
3,1.274764348347857,1.6387754830151833,0.4888401657473034
4,1.2069812362685477,1.5881232522908737,0.5253853779386737
5,1.3646840220745273,1.8388940208418478,0.44915343944528985
