model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std
Random Forest,1.2717659278553364,0.0368278354421653,1.6722577614053364,0.08304313453530918,0.4893421720696701,0.05628032296086543
Spatial neighbour,1.264863976889012,0.09598928117494805,1.6760693924898937,0.16317904001097208,0.4862664088353295,0.08728997102383187
Return-period,1.6354671673682941,0.09749698354247925,2.0293937548363736,0.13026198176476525,0.2487031513897807,0.08591098143418803
