feature_set,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std
Full,1.2658473164034116,0.09073333500382397,1.6256635200786955,0.11816182005673107,0.5182751434652493,0.05491276134272442
Without coordinates,1.2961708734025306,0.09110224765212636,1.6472968289995442,0.10764319743668511,0.505966679481165,0.04372770892397746
System only,1.3053103400507875,0.09242262150504986,1.6563193060019965,0.11114824109945506,0.5003951536704258,0.047494228473696526
Only coordinates,1.3232057702610152,0.09566466817614935,1.688149022018467,0.11934806611293533,0.4806822132458012,0.05623410924384248
