feature,importance_mean,importance_std
geometry_y,0.22906596141018923,0.018245605245429578
dijkring,0.22882596100912173,0.008447059858813876
geometry_x,0.20402920104195793,0.01823619506502068
river,0.18576742785527803,0.008921797759010934
breach_growth_method,0.08811125223273458,0.0031662254962147593
return_period,0.0363760511831718,0.0037963349621335145
initial_width_missing,0.03428079589664479,0.004391233889299479
initial_breach_width_filled,0.023990718893586206,0.004177573967594892
growth_method_missing,-4.4408920985006264e-17,7.364386412590296e-17
