breach_id,geometry_x,geometry_y,river,dijkring,breach_name,initial_breach_width,breach_growth_method
429,143150,416750,Maas,Dijkring 36 - Land van Heusden/de Maaskant,Bokhoven,"35,0", 
430,206040,506224,Vecht,Dijkring 09 - Vollenhove,Bomhofsplas,"20,0",vast
435,168515,590419,Waddenzee,Dijkring 06 - Friesland en Groningen,Boonweg,"-9999,0", 
442,125776,426972,Boven Merwede,Dijkring 16 - Alblasserwaard en Vijfheerenlanden,Boven Merwede km 955.5 (dkr16 AW389),"10,0",automatisch
443,122608,427932,Boven Merwede,Dijkring 16 - Alblasserwaard en Vijfheerenlanden,Boven Merwede km 958.5 (dkr16 AW003),"10,0",automatisch
444,121093,426387,Boven Merwede,Dijkring 16 - Alblasserwaard en Vijfheerenlanden,Boven Merwede km 960.1 (dkr16 AW015),"10,0",automatisch
486,135013,425876,Waal,Dijkring 38 - Bommelerwaard,Brakel,"-9999,0",vast
487,225391,416099,Boven Rijn,Dijkring 42 - Ooij en Millingen,Bramsacker,"-999,0", 
490,76636,435070,Calandkanaal + havens,Dijkring 19 - Rozenburg,BrittanniÃ«haven (dkr19 km 4.8),"10,0",automatisch
491,196443,444009,IJssel,Dijkring 47 - Arnhemse- en Velpsebroek,Broekdijk,"-999,0", 
540,189314,504010,IJssel,Dijkring 11 - IJsseldelta,Bypass Zuid,"-999,0",vast
541,71820,401182,zoommeer/eendracht,Dijkring 27 - Tholen en St. Philipsland,C-Kering_volkerakzoommeer_bres5,"10,0",automatisch
542,72200,404790,zoommeer/eendracht,Dijkring 27 - Tholen en St. Philipsland,C-Kering_volkerakzoommeer_bres6,"10,0",automatisch
543,75187,436355,Calandkanaal + havens,Dijkring 19 - Rozenburg,Calandkanaal_km1020.3(dkr19 km7.0),"10,0",automatisch
544,99890,437370,Hollandsche IJssel,Dijkring 14 - Zuid-Holland,"Capelle aan den IJssel, Schielands Hoge Zeedijk km 15.6","10,0",automatisch
545,98186,435982,Nieuwe Maas,Dijkring 14 - Zuid-Holland,Capelle-West_Nijverheidstraat (Hmp. 51),"10,0",automatisch
546,128600,413440,Bergsche Maas,Dijkring 35 - Donge,CapelscheUiterwaarden,"-999,0",vast
554,155148,565535,IJsselmeer,Dijkring 06 - Friesland en Groningen,Cornwerd,"-999,0", 
555,210750,457150,IJssel,Dijkring 52 - Oost Veluwe,Cortenoever,"-9999,0",vast
