source,target,distance_km,same_river,same_dijkring
139,384,2.4464443586560476,0,1
139,383,2.7967082436321458,0,1
139,382,3.5589268045297024,0,1
139,141,3.897119064129296,1,1
140,141,1.7865847307082863,1,1
140,139,2.194401968646583,1,1
140,29,4.051216730810634,0,0
140,475,4.452400026951756,0,0
140,384,4.624219934215932,0,1
141,140,1.7865847307082863,1,1
141,29,3.1073596508933434,0,0
141,139,3.897119064129296,1,1
141,261,4.486327339818173,0,0
141,34,4.516333247226116,0,0
142,472,0.6239823715458634,1,1
142,601,1.7180352150057927,1,0
142,600,4.300409282847389,1,0
142,101,4.693484952569892,1,0
142,605,4.761269263547274,1,1
143,609,2.0101644211357437,1,0
143,517,4.264766582123809,1,0
143,608,4.581482402017932,1,0
143,500,5.763139161949848,1,0
143,484,5.784789192356105,0,0
144,147,1.3339752621394445,1,1
144,202,2.068912757948,0,1
144,146,3.0902642281850268,1,1
144,458,5.098092388335073,1,1
144,78,5.851262598790111,0,0
145,235,0.7294333417112218,1,0
145,411,1.7003590797240447,1,1
145,416,3.408420455284236,0,1
145,89,3.872517140052449,1,0
145,30,4.153375976239088,0,1
146,147,1.9945397965445564,1,1
146,144,3.0902642281850268,1,1
146,458,3.588735849850195,1,1
146,202,4.448282927152904,0,1
146,78,5.702128462249864,0,0
147,144,1.3339752621394445,1,1
147,146,1.9945397965445564,1,1
147,202,3.2502667582830798,0,1
147,458,4.82983146703899,1,1
147,78,4.99616012553641,0,0
148,115,1.3429430367666382,1,1
148,440,4.394242824423793,1,1
148,90,6.30574063849759,1,1
148,433,6.900604611191689,1,0
148,196,7.643541391266224,0,0
149,16,0.8668344709343302,0,0
149,239,2.1837737978096543,0,0
149,22,2.35606897182574,1,1
149,208,3.2779928309866695,0,0
149,247,4.454501094398788,1,1
150,89,8.168771327439641,1,1
150,116,8.614522621712709,1,0
150,411,10.497761332779481,1,0
150,304,11.368597626796367,0,1
150,235,11.405324239143752,1,1
151,203,1.3258510474408505,1,0
151,436,1.7707696066964782,1,1
151,243,2.152324325003088,1,1
151,191,3.335416016031583,1,0
151,194,9.65828659752857,1,0
152,15,0.6149032444214292,1,0
152,21,3.106444913401813,0,1
152,100,5.5747757802444395,1,0
152,63,6.262587324740471,1,1
152,75,7.042137459606991,0,0
153,519,2.8840410884729084,1,1
153,244,2.9270415097842397,1,1
153,518,4.756912128681799,1,1
153,454,7.000036857045826,1,1
153,93,10.769433875557247,1,1
154,97,2.442135336135162,0,1
154,96,2.576941016011038,0,1
154,415,3.8302251892023267,1,1
154,138,4.128810482451332,0,0
154,461,5.283527704100736,1,1
155,102,2.3040555548857755,1,0
155,231,3.717005918746969,1,0
155,1,3.895283943437243,1,0
155,179,5.845860244651766,0,1
155,227,7.2022024409204155,1,0
156,259,1.5897587867346417,0,1
156,70,1.9044655418253174,0,1
156,258,2.630404531626267,0,1
156,69,2.7370445739885203,0,1
156,68,3.0928706730156046,0,0
157,242,1.7737635129858773,1,0
157,158,2.753754709483036,1,1
157,241,3.1738697200735886,1,0
157,156,3.3096188602314918,1,0
157,70,3.4628964754956217,0,0
158,159,1.5393326476106457,1,1
158,157,2.753754709483036,1,1
158,160,2.9911872224920995,1,1
158,242,3.2663306629917312,1,0
158,161,5.458682075373139,1,1
159,160,1.517461696386436,1,1
159,158,1.5393326476106457,1,1
159,161,3.9407005722333177,1,1
159,157,4.2109196145260235,1,1
159,242,4.791398230162047,1,0
160,159,1.517461696386436,1,1
160,161,2.481265201464769,1,1
160,158,2.9911872224920995,1,1
160,201,3.9833951599107014,1,0
160,515,5.703774978029901,1,0
161,160,2.481265201464769,1,1
161,201,3.1749525980713473,1,0
161,515,3.582002233388472,1,0
161,162,3.621905851896208,1,1
161,159,3.9407005722333177,1,1
162,137,1.9500433328518625,0,1
162,121,2.870853531617383,0,1
162,516,2.93210231745074,1,0
162,161,3.621905851896208,1,1
162,515,3.764792955794515,1,0
163,164,1.3637305452324517,1,1
163,172,1.3968249711399061,1,0
163,169,1.9343236544074005,1,1
163,170,2.0705371283799767,1,1
163,171,2.3393881678763786,1,0
164,172,0.1945893111144597,1,0
164,163,1.3637305452324517,1,1
164,165,2.649187800062502,1,1
164,170,2.866827689276075,1,1
164,169,3.208414717582501,1,1
165,166,0.9224993224929762,1,1
165,35,1.9333623561039974,1,0
165,252,2.3549989384286354,0,1
165,172,2.6142082931549275,1,0
165,164,2.649187800062502,1,1
166,165,0.9224993224929762,1,1
166,35,1.0559190309867512,1,0
166,252,2.1577258862051965,0,1
166,172,3.1830802691732423,1,0
166,36,3.209222491507873,0,0
167,173,1.1583177456984763,1,0
167,168,1.5261415399627913,1,1
167,109,1.8129147801261922,1,0
167,169,2.0744138931274057,1,1
167,108,2.2450167037240503,1,0
168,169,0.6092002954693965,1,1
168,171,1.369599211448371,1,0
168,167,1.5261415399627913,1,1
168,170,1.7987465079882714,1,1
168,163,2.5293384510579044,1,1
169,168,0.6092002954693965,1,1
169,171,1.1393493757403828,1,0
169,170,1.417492151653758,1,1
